,Year,Month,Carrier,Count,WEATHER_DELAY,Avg
309,2014,05,EV,1490,3007.0,2.0181208053691275
310,2014,05,F9,834,1110.0,1.330935251798561
311,2014,05,FL,413,649.0,1.5714285714285714
312,2014,05,MQ,1471,7665.0,5.210740992522094
313,2014,05,NK,0,0.0,0.0
314,2014,05,OO,1548,1605.0,1.0368217054263567
315,2014,05,UA,4272,11096.0,2.597378277153558
316,2014,05,US,3256,6645.0,2.0408476658476657
317,2014,05,VX,638,3695.0,5.79153605015674
318,2014,05,WN,5996,9323.0,1.554869913275517
319,2014,05,YV,0,0.0,0.0
320,2014,06,9E,0,0.0,0.0
321,2014,06,AA,3257,14738.0,4.52502302732576
322,2014,06,AS,776,701.0,0.9033505154639175
323,2014,06,B6,966,2384.0,2.4679089026915113
324,2014,06,DL,5446,16820.0,3.088505325009181
325,2014,06,EV,1672,5316.0,3.1794258373205744
326,2014,06,F9,904,575.0,0.6360619469026548
327,2014,06,FL,376,521.0,1.3856382978723405
328,2014,06,MQ,1356,4916.0,3.6253687315634218
329,2014,06,NK,0,0.0,0.0
330,2014,06,OO,1690,1743.0,1.0313609467455622
331,2014,06,UA,5462,15445.0,2.827718784328085
332,2014,06,US,4187,11742.0,2.8043945545736806
333,2014,06,VX,686,2128.0,3.1020408163265305
334,2014,06,WN,7610,8281.0,1.088173455978975
335,2014,06,YV,0,0.0,0.0
336,2014,07,9E,0,0.0,0.0
337,2014,07,AA,2961,10498.0,3.5454238432961835
338,2014,07,AS,897,1491.0,1.6622073578595318
339,2014,07,B6,1446,5842.0,4.040110650069156
340,2014,07,DL,3910,15537.0,3.9736572890025577
341,2014,07,EV,1398,2368.0,1.693848354792561
342,2014,07,F9,693,960.0,1.3852813852813852
343,2014,07,FL,297,131.0,0.44107744107744107
344,2014,07,MQ,980,1798.0,1.8346938775510204
345,2014,07,NK,0,0.0,0.0
346,2014,07,OO,1680,1388.0,0.8261904761904761
347,2014,07,UA,4593,7510.0,1.6350968865665143
348,2014,07,US,4221,14118.0,3.3447050461975834
349,2014,07,VX,756,2503.0,3.310846560846561
350,2014,07,WN,7370,13000.0,1.7639077340569878
351,2014,07,YV,0,0.0,0.0
352,2014,08,9E,0,0.0,0.0
353,2014,08,AA,3070,8501.0,2.769055374592834
354,2014,08,AS,937,946.0,1.0096051227321239
355,2014,08,B6,1031,2322.0,2.2521823472356934
356,2014,08,DL,4312,19604.0,4.546382189239332
357,2014,08,EV,1279,2413.0,1.8866301798279905
358,2014,08,F9,654,460.0,0.7033639143730887
359,2014,08,FL,244,514.0,2.1065573770491803
360,2014,08,MQ,1040,3061.0,2.9432692307692307
361,2014,08,NK,0,0.0,0.0
362,2014,08,OO,1642,2164.0,1.317904993909866
363,2014,08,UA,4407,11675.0,2.6491944633537554
364,2014,08,US,3273,5308.0,1.6217537427436604
